container_id,bol,origin_port,destination_port,carrier,mode,sku_count,container_value_usd,criticality,planned_departure_date,planned_arrival_date,actual_arrival_date,delay_days
CONT1000000,BOL2024100000,Singapore,Los Angeles,BlueWave,STANDARD_OCEAN,65,102504.96,HIGH,2024-10-08,2024-11-02,2024-11-06,4
CONT1000001,BOL2024100001,Ningbo,Houston,BlueWave,STANDARD_OCEAN,116,77325.84,LOW,2025-07-12,2025-08-01,2025-08-04,3
CONT1000002,BOL2024100002,Shanghai,Los Angeles,BlueWave,STANDARD_OCEAN,137,59778.9,HIGH,2024-08-11,2024-09-05,2024-09-05,0
CONT1000003,BOL2024100003,Ho Chi Minh,Los Angeles,PacificLine,STANDARD_OCEAN,115,74809.74,LOW,2024-07-22,2024-08-31,2024-08-31,0
CONT1000004,BOL2024100004,Ningbo,New York/New Jersey,PacificLine,STANDARD_OCEAN,48,20398.83,LOW,2024-10-11,2024-10-29,2024-10-29,0
CONT1000005,BOL2024100005,Singapore,New York/New Jersey,GlobalMar,STANDARD_OCEAN,94,55095.77,LOW,2024-10-11,2024-11-02,2024-11-25,23
CONT1000006,BOL2024100006,Shanghai,Los Angeles,NorthStar,STANDARD_OCEAN,96,37781.26,LOW,2024-04-09,2024-05-08,2024-05-08,0
CONT1000007,BOL2024100007,Ho Chi Minh,Seattle,BlueWave,STANDARD_OCEAN,39,44221.2,LOW,2025-04-15,2025-05-20,2025-05-20,0
CONT1000008,BOL2024100008,Busan,Los Angeles,PacificLine,STANDARD_OCEAN,100,15095.94,MEDIUM,2024-10-27,2024-12-04,2024-12-07,3
CONT1000009,BOL2024100009,Ho Chi Minh,Long Beach,BlueWave,STANDARD_OCEAN,66,72039.41,HIGH,2024-02-16,2024-03-26,2024-03-29,3
CONT1000010,BOL2024100010,Yantian,Los Angeles,OceanBridge,STANDARD_OCEAN,79,37586.23,LOW,2024-04-13,2024-05-13,2024-05-15,2
CONT1000011,BOL2024100011,Busan,Houston,GlobalMar,STANDARD_OCEAN,98,27328.21,MEDIUM,2024-06-15,2024-07-14,2024-07-14,0
CONT1000012,BOL2024100012,Ningbo,Houston,GlobalMar,STANDARD_OCEAN,51,62095.08,MEDIUM,2025-10-25,2025-11-14,2025-11-30,16
CONT1000013,BOL2024100013,Ho Chi Minh,Houston,OceanBridge,STANDARD_OCEAN,77,67187.92,MEDIUM,2024-06-16,2024-07-18,2024-08-05,18
CONT1000014,BOL2024100014,Singapore,Houston,PacificLine,STANDARD_OCEAN,91,75852.79,LOW,2024-08-12,2024-09-20,2024-09-24,4
CONT1000015,BOL2024100015,Shanghai,Long Beach,BlueWave,STANDARD_OCEAN,76,27064.7,LOW,2024-11-19,2024-12-19,2024-12-26,7
CONT1000016,BOL2024100016,Shanghai,Long Beach,PacificLine,PREMIUM_OCEAN,109,31106.88,MEDIUM,2024-11-18,2024-12-08,2024-12-09,1
CONT1000017,BOL2024100017,Singapore,New York/New Jersey,OceanBridge,STANDARD_OCEAN,71,26736.5,MEDIUM,2024-09-28,2024-10-20,2024-11-05,16
CONT1000018,BOL2024100018,Singapore,Savannah,PacificLine,STANDARD_OCEAN,117,37629.59,LOW,2024-09-26,2024-11-06,2024-11-08,2
CONT1000019,BOL2024100019,Ho Chi Minh,New York/New Jersey,GlobalMar,STANDARD_OCEAN,138,19491.24,HIGH,2024-08-12,2024-09-03,2024-09-04,1
CONT1000020,BOL2024100020,Busan,Los Angeles,BlueWave,STANDARD_OCEAN,48,33658.93,LOW,2024-04-22,2024-05-14,2024-05-14,0
CONT1000021,BOL2024100021,Singapore,New York/New Jersey,PacificLine,STANDARD_OCEAN,105,52732.23,MEDIUM,2024-03-06,2024-04-05,2024-04-09,4
CONT1000022,BOL2024100022,Ho Chi Minh,New York/New Jersey,PacificLine,PREMIUM_OCEAN,37,37041.19,MEDIUM,2024-09-14,2024-10-15,2024-10-15,0
CONT1000023,BOL2024100023,Singapore,Savannah,GlobalMar,STANDARD_OCEAN,36,53639.17,MEDIUM,2025-10-18,2025-11-15,2025-11-15,0
CONT1000024,BOL2024100024,Yantian,New York/New Jersey,OceanBridge,STANDARD_OCEAN,75,55394.08,LOW,2025-04-09,2025-04-27,2025-04-29,2
