container_id,bol,origin_port,destination_port,carrier,mode,sku_count,container_value_usd,criticality,planned_departure_date,planned_arrival_date,actual_arrival_date,delay_days,CUSTOMS_RELEASED,DELIVERED_TO_NODE,DESTINATION_GATE_OUT,DESTINATION_PORT_ARRIVAL,EMPTY_RETURNED,LOADED_ON_VESSEL,ORIGIN_GATE_IN,VESSEL_DEPARTED,VESSEL_DISCHARGE,port_arrival_to_discharge_days,discharge_to_customs_days,customs_to_gateout_days,gateout_to_delivery_days,delivery_to_empty_return_days,arrival_to_empty_return_days,ACCESSORIAL,BASE,CHASSIS,DEMURRAGE,DETENTION,FUEL,PRE_PULL,STORAGE,total_accessorial_cost,total_cost,has_accessorial_risk,delay_risk_label,recommended_action_label
CONT1000000,BOL2024100000,Singapore,Los Angeles,BlueWave,STANDARD_OCEAN,65,102504.96,HIGH,2024-10-08,2024-11-02,2024-11-06,4,2024-11-14,2024-11-18,2024-11-16,2024-11-06,2024-11-28,2024-10-07,2024-10-05,2024-10-08,2024-11-09,3,5,2,2,10,22,0.0,2487.86,326.47,0.0,0.0,499.81,0.0,0.0,326.47,3314.1400000000003,0,0,WAIT_AND_MONITOR
CONT1000001,BOL2024100001,Ningbo,Houston,BlueWave,STANDARD_OCEAN,116,77325.84,LOW,2025-07-12,2025-08-01,2025-08-04,3,2025-08-11,2025-08-15,2025-08-13,2025-08-04,2025-08-18,2025-07-10,2025-07-04,2025-07-12,2025-08-07,3,4,2,2,3,14,0.0,4675.05,577.16,0.0,0.0,702.45,1055.35,0.0,1632.5099999999998,7010.01,1,0,WAIT_AND_MONITOR
CONT1000002,BOL2024100002,Shanghai,Los Angeles,BlueWave,STANDARD_OCEAN,137,59778.9,HIGH,2024-08-11,2024-09-05,2024-09-05,0,2024-09-10,2024-09-16,2024-09-14,2024-09-05,2024-09-18,2024-08-10,2024-08-07,2024-08-11,2024-09-05,0,5,4,2,2,13,0.0,3658.91,0.0,0.0,0.0,717.34,0.0,0.0,0.0,4376.25,0,0,WAIT_AND_MONITOR
CONT1000003,BOL2024100003,Ho Chi Minh,Los Angeles,PacificLine,STANDARD_OCEAN,115,74809.74,LOW,2024-07-22,2024-08-31,2024-08-31,0,2024-08-31,2024-09-03,2024-09-03,2024-08-31,2024-09-04,2024-07-19,2024-07-16,2024-07-22,2024-08-31,0,0,3,0,1,4,0.0,4243.53,123.94,0.0,0.0,910.44,0.0,0.0,123.94,5277.909999999999,0,0,WAIT_AND_MONITOR
CONT1000004,BOL2024100004,Ningbo,New York/New Jersey,PacificLine,STANDARD_OCEAN,48,20398.83,LOW,2024-10-11,2024-10-29,2024-10-29,0,2024-11-04,2024-11-12,2024-11-09,2024-10-29,2024-11-22,2024-10-08,2024-10-07,2024-10-11,2024-11-01,3,3,5,3,10,24,0.0,4592.98,0.0,0.0,0.0,983.16,0.0,0.0,0.0,5576.139999999999,0,0,WAIT_AND_MONITOR
CONT1000005,BOL2024100005,Singapore,New York/New Jersey,GlobalMar,STANDARD_OCEAN,94,55095.77,LOW,2024-10-11,2024-11-02,2024-11-25,23,2024-12-01,2024-12-07,2024-12-05,2024-11-25,2024-12-14,2024-10-09,2024-10-03,2024-10-11,2024-11-27,2,4,4,2,7,19,0.0,2661.01,0.0,1714.2,2576.86,542.36,0.0,1065.63,5356.6900000000005,8560.060000000001,1,1,PRE_PULL_OR_PRIORITY_DRAYAGE
CONT1000006,BOL2024100006,Shanghai,Los Angeles,NorthStar,STANDARD_OCEAN,96,37781.26,LOW,2024-04-09,2024-05-08,2024-05-08,0,2024-05-09,2024-05-10,2024-05-10,2024-05-08,2024-05-14,2024-04-07,2024-03-31,2024-04-09,2024-05-08,0,1,1,0,4,6,407.58,4090.98,502.02,0.0,0.0,877.18,0.0,0.0,909.5999999999999,5877.76,1,0,WAIT_AND_MONITOR
CONT1000007,BOL2024100007,Ho Chi Minh,Seattle,BlueWave,STANDARD_OCEAN,39,44221.2,LOW,2025-04-15,2025-05-20,2025-05-20,0,2025-05-21,2025-05-25,2025-05-22,2025-05-20,2025-05-28,2025-04-14,2025-04-12,2025-04-15,2025-05-21,1,0,1,3,3,8,0.0,4558.41,544.11,0.0,0.0,784.5,0.0,0.0,544.11,5887.0199999999995,0,0,WAIT_AND_MONITOR
CONT1000008,BOL2024100008,Busan,Los Angeles,PacificLine,STANDARD_OCEAN,100,15095.94,MEDIUM,2024-10-27,2024-12-04,2024-12-07,3,2024-12-15,2024-12-20,2024-12-19,2024-12-07,2024-12-22,2024-10-26,2024-10-19,2024-10-27,2024-12-10,3,5,4,1,2,15,0.0,3444.47,528.93,0.0,0.0,311.23,0.0,0.0,528.93,4284.63,0,0,WAIT_AND_MONITOR
CONT1000009,BOL2024100009,Ho Chi Minh,Long Beach,BlueWave,STANDARD_OCEAN,66,72039.41,HIGH,2024-02-16,2024-03-26,2024-03-29,3,2024-04-02,2024-04-05,2024-04-05,2024-03-29,2024-04-07,2024-02-14,2024-02-11,2024-02-16,2024-03-30,1,3,3,0,2,9,0.0,5113.97,469.09,0.0,0.0,594.36,649.27,0.0,1118.36,6826.6900000000005,1,0,WAIT_AND_MONITOR
CONT1000010,BOL2024100010,Yantian,Los Angeles,OceanBridge,STANDARD_OCEAN,79,37586.23,LOW,2024-04-13,2024-05-13,2024-05-15,2,2024-05-21,2024-05-24,2024-05-24,2024-05-15,2024-06-01,2024-04-12,2024-04-09,2024-04-13,2024-05-18,3,3,3,0,8,17,0.0,4462.33,646.62,0.0,0.0,694.55,1150.63,0.0,1797.25,6954.13,1,0,WAIT_AND_MONITOR
CONT1000011,BOL2024100011,Busan,Houston,GlobalMar,STANDARD_OCEAN,98,27328.21,MEDIUM,2024-06-15,2024-07-14,2024-07-14,0,2024-07-17,2024-07-24,2024-07-21,2024-07-14,2024-07-25,2024-06-14,2024-06-08,2024-06-15,2024-07-15,1,2,4,3,1,11,0.0,4114.9,527.95,0.0,0.0,697.84,0.0,0.0,527.95,5340.69,0,0,WAIT_AND_MONITOR
CONT1000012,BOL2024100012,Ningbo,Houston,GlobalMar,STANDARD_OCEAN,51,62095.08,MEDIUM,2025-10-25,2025-11-14,2025-11-30,16,2025-12-05,2025-12-13,2025-12-10,2025-11-30,2025-12-20,2025-10-24,2025-10-20,2025-10-25,2025-11-30,0,5,5,3,7,20,0.0,4447.56,335.89,1726.57,1711.35,423.08,649.34,479.17,4902.320000000001,9772.96,1,1,PRE_PULL_OR_PRIORITY_DRAYAGE
CONT1000013,BOL2024100013,Ho Chi Minh,Houston,OceanBridge,STANDARD_OCEAN,77,67187.92,MEDIUM,2024-06-16,2024-07-18,2024-08-05,18,2024-08-07,2024-08-13,2024-08-10,2024-08-05,2024-08-21,2024-06-14,2024-06-07,2024-06-16,2024-08-07,2,0,3,3,8,16,0.0,4155.72,0.0,2284.78,1460.69,801.8,0.0,925.0,4670.47,9627.990000000002,1,1,PRE_PULL_OR_PRIORITY_DRAYAGE
CONT1000014,BOL2024100014,Singapore,Houston,PacificLine,STANDARD_OCEAN,91,75852.79,LOW,2024-08-12,2024-09-20,2024-09-24,4,2024-09-28,2024-10-03,2024-10-03,2024-09-24,2024-10-12,2024-08-09,2024-08-05,2024-08-12,2024-09-27,3,1,5,0,9,18,291.17,4876.23,238.14,0.0,0.0,801.39,1101.32,0.0,1630.63,7308.25,1,0,WAIT_AND_MONITOR
