container_id,bol,empty_return_date,cost_attribute_code,cost_amount_usd
CONT1000000,BOL2024100000,2024-11-28,BASE,2487.86
CONT1000000,BOL2024100000,2024-11-28,FUEL,499.81
CONT1000000,BOL2024100000,2024-11-28,CHASSIS,326.47
CONT1000001,BOL2024100001,2025-08-18,BASE,4675.05
CONT1000001,BOL2024100001,2025-08-18,FUEL,702.45
CONT1000001,BOL2024100001,2025-08-18,PRE_PULL,1055.35
CONT1000001,BOL2024100001,2025-08-18,CHASSIS,577.16
CONT1000002,BOL2024100002,2024-09-18,BASE,3658.91
CONT1000002,BOL2024100002,2024-09-18,FUEL,717.34
CONT1000003,BOL2024100003,2024-09-04,BASE,4243.53
CONT1000003,BOL2024100003,2024-09-04,FUEL,910.44
CONT1000003,BOL2024100003,2024-09-04,CHASSIS,123.94
CONT1000004,BOL2024100004,2024-11-22,BASE,4592.98
CONT1000004,BOL2024100004,2024-11-22,FUEL,983.16
CONT1000005,BOL2024100005,2024-12-14,BASE,2661.01
CONT1000005,BOL2024100005,2024-12-14,FUEL,542.36
CONT1000005,BOL2024100005,2024-12-14,DEMURRAGE,1714.2
CONT1000005,BOL2024100005,2024-12-14,DETENTION,2576.86
CONT1000005,BOL2024100005,2024-12-14,STORAGE,1065.63
CONT1000006,BOL2024100006,2024-05-14,BASE,4090.98
CONT1000006,BOL2024100006,2024-05-14,FUEL,877.18
CONT1000006,BOL2024100006,2024-05-14,CHASSIS,502.02
CONT1000006,BOL2024100006,2024-05-14,ACCESSORIAL,407.58
CONT1000007,BOL2024100007,2025-05-28,BASE,4558.41
CONT1000007,BOL2024100007,2025-05-28,FUEL,784.5
CONT1000007,BOL2024100007,2025-05-28,CHASSIS,544.11
CONT1000008,BOL2024100008,2024-12-22,BASE,3444.47
CONT1000008,BOL2024100008,2024-12-22,FUEL,311.23
CONT1000008,BOL2024100008,2024-12-22,CHASSIS,528.93
CONT1000009,BOL2024100009,2024-04-07,BASE,5113.97
CONT1000009,BOL2024100009,2024-04-07,FUEL,594.36
CONT1000009,BOL2024100009,2024-04-07,PRE_PULL,649.27
CONT1000009,BOL2024100009,2024-04-07,CHASSIS,469.09
CONT1000010,BOL2024100010,2024-06-01,BASE,4462.33
CONT1000010,BOL2024100010,2024-06-01,FUEL,694.55
CONT1000010,BOL2024100010,2024-06-01,PRE_PULL,1150.63
CONT1000010,BOL2024100010,2024-06-01,CHASSIS,646.62
CONT1000011,BOL2024100011,2024-07-25,BASE,4114.9
CONT1000011,BOL2024100011,2024-07-25,FUEL,697.84
CONT1000011,BOL2024100011,2024-07-25,CHASSIS,527.95
CONT1000012,BOL2024100012,2025-12-20,BASE,4447.56
CONT1000012,BOL2024100012,2025-12-20,FUEL,423.08
CONT1000012,BOL2024100012,2025-12-20,DEMURRAGE,1726.57
CONT1000012,BOL2024100012,2025-12-20,DETENTION,1711.35
CONT1000012,BOL2024100012,2025-12-20,STORAGE,479.17
CONT1000012,BOL2024100012,2025-12-20,PRE_PULL,649.34
CONT1000012,BOL2024100012,2025-12-20,CHASSIS,335.89
CONT1000013,BOL2024100013,2024-08-21,BASE,4155.72
CONT1000013,BOL2024100013,2024-08-21,FUEL,801.8
CONT1000013,BOL2024100013,2024-08-21,DEMURRAGE,2284.78
CONT1000013,BOL2024100013,2024-08-21,DETENTION,1460.69
CONT1000013,BOL2024100013,2024-08-21,STORAGE,925.0
CONT1000014,BOL2024100014,2024-10-12,BASE,4876.23
CONT1000014,BOL2024100014,2024-10-12,FUEL,801.39
CONT1000014,BOL2024100014,2024-10-12,PRE_PULL,1101.32
CONT1000014,BOL2024100014,2024-10-12,CHASSIS,238.14
CONT1000014,BOL2024100014,2024-10-12,ACCESSORIAL,291.17
CONT1000015,BOL2024100015,2025-01-10,BASE,4896.24
CONT1000015,BOL2024100015,2025-01-10,FUEL,983.07
CONT1000015,BOL2024100015,2025-01-10,DEMURRAGE,438.27
CONT1000015,BOL2024100015,2025-01-10,STORAGE,259.1
CONT1000015,BOL2024100015,2025-01-10,CHASSIS,329.25
CONT1000016,BOL2024100016,2024-12-31,BASE,4820.14
CONT1000016,BOL2024100016,2024-12-31,FUEL,577.45
CONT1000016,BOL2024100016,2024-12-31,CHASSIS,624.56
CONT1000017,BOL2024100017,2024-11-17,BASE,3657.9
CONT1000017,BOL2024100017,2024-11-17,FUEL,517.99
CONT1000017,BOL2024100017,2024-11-17,DEMURRAGE,1004.93
CONT1000017,BOL2024100017,2024-11-17,DETENTION,876.11
CONT1000018,BOL2024100018,2024-11-24,BASE,4649.19
CONT1000018,BOL2024100018,2024-11-24,FUEL,741.93
CONT1000018,BOL2024100018,2024-11-24,CHASSIS,128.66
CONT1000018,BOL2024100018,2024-11-24,ACCESSORIAL,750.09
CONT1000019,BOL2024100019,2024-09-20,BASE,4451.7
CONT1000019,BOL2024100019,2024-09-20,FUEL,844.4
CONT1000019,BOL2024100019,2024-09-20,PRE_PULL,1042.01
CONT1000019,BOL2024100019,2024-09-20,CHASSIS,471.56
CONT1000020,BOL2024100020,2024-05-28,BASE,3790.58
CONT1000020,BOL2024100020,2024-05-28,FUEL,627.05
CONT1000020,BOL2024100020,2024-05-28,CHASSIS,533.23
CONT1000021,BOL2024100021,2024-04-21,BASE,4794.65
CONT1000021,BOL2024100021,2024-04-21,FUEL,1008.47
CONT1000022,BOL2024100022,2024-10-29,BASE,7435.55
CONT1000022,BOL2024100022,2024-10-29,FUEL,986.82
CONT1000022,BOL2024100022,2024-10-29,CHASSIS,127.53
CONT1000023,BOL2024100023,2025-11-25,BASE,3602.6
CONT1000023,BOL2024100023,2025-11-25,FUEL,478.21
CONT1000023,BOL2024100023,2025-11-25,PRE_PULL,1201.92
CONT1000023,BOL2024100023,2025-11-25,CHASSIS,130.97
CONT1000024,BOL2024100024,2025-05-10,BASE,2763.66
CONT1000024,BOL2024100024,2025-05-10,FUEL,517.97
CONT1000025,BOL2024100025,2024-06-12,BASE,2873.26
CONT1000025,BOL2024100025,2024-06-12,FUEL,367.78
CONT1000025,BOL2024100025,2024-06-12,PRE_PULL,724.02
CONT1000025,BOL2024100025,2024-06-12,CHASSIS,600.16
CONT1000026,BOL2024100026,2024-09-06,BASE,2971.46
CONT1000026,BOL2024100026,2024-09-06,FUEL,330.75
CONT1000026,BOL2024100026,2024-09-06,DEMURRAGE,1555.38
CONT1000026,BOL2024100026,2024-09-06,STORAGE,631.02
CONT1000026,BOL2024100026,2024-09-06,CHASSIS,648.88
CONT1000027,BOL2024100027,2025-10-19,BASE,4336.36
CONT1000027,BOL2024100027,2025-10-19,FUEL,750.51
CONT1000027,BOL2024100027,2025-10-19,PRE_PULL,1234.53
CONT1000027,BOL2024100027,2025-10-19,CHASSIS,582.81
CONT1000028,BOL2024100028,2024-12-25,BASE,8809.24
CONT1000028,BOL2024100028,2024-12-25,FUEL,796.64
CONT1000028,BOL2024100028,2024-12-25,DEMURRAGE,261.6
CONT1000028,BOL2024100028,2024-12-25,DETENTION,400.44
CONT1000028,BOL2024100028,2024-12-25,STORAGE,302.03
CONT1000028,BOL2024100028,2024-12-25,CHASSIS,263.13
CONT1000029,BOL2024100029,2025-06-18,BASE,2901.12
CONT1000029,BOL2024100029,2025-06-18,FUEL,549.58
CONT1000029,BOL2024100029,2025-06-18,DEMURRAGE,185.24
CONT1000029,BOL2024100029,2025-06-18,PRE_PULL,1039.4
CONT1000029,BOL2024100029,2025-06-18,ACCESSORIAL,682.45
CONT1000030,BOL2024100030,2025-09-09,BASE,3702.83
CONT1000030,BOL2024100030,2025-09-09,FUEL,392.03
CONT1000031,BOL2024100031,2024-12-30,BASE,4599.39
CONT1000031,BOL2024100031,2024-12-30,FUEL,626.96
CONT1000031,BOL2024100031,2024-12-30,CHASSIS,307.22
