container_id,bol,milestone_code,milestone_date,port_name
CONT1000000,BOL2024100000,ORIGIN_GATE_IN,2024-10-05,Singapore
CONT1000000,BOL2024100000,LOADED_ON_VESSEL,2024-10-07,Singapore
CONT1000000,BOL2024100000,VESSEL_DEPARTED,2024-10-08,Singapore
CONT1000000,BOL2024100000,DESTINATION_PORT_ARRIVAL,2024-11-06,Los Angeles
CONT1000000,BOL2024100000,VESSEL_DISCHARGE,2024-11-09,Los Angeles
CONT1000000,BOL2024100000,CUSTOMS_RELEASED,2024-11-14,Los Angeles
CONT1000000,BOL2024100000,DESTINATION_GATE_OUT,2024-11-16,Los Angeles
CONT1000000,BOL2024100000,DELIVERED_TO_NODE,2024-11-18,Los Angeles
CONT1000000,BOL2024100000,EMPTY_RETURNED,2024-11-28,Los Angeles
CONT1000001,BOL2024100001,ORIGIN_GATE_IN,2025-07-04,Ningbo
CONT1000001,BOL2024100001,LOADED_ON_VESSEL,2025-07-10,Ningbo
CONT1000001,BOL2024100001,VESSEL_DEPARTED,2025-07-12,Ningbo
CONT1000001,BOL2024100001,DESTINATION_PORT_ARRIVAL,2025-08-04,Houston
CONT1000001,BOL2024100001,VESSEL_DISCHARGE,2025-08-07,Houston
CONT1000001,BOL2024100001,CUSTOMS_RELEASED,2025-08-11,Houston
CONT1000001,BOL2024100001,DESTINATION_GATE_OUT,2025-08-13,Houston
CONT1000001,BOL2024100001,DELIVERED_TO_NODE,2025-08-15,Houston
CONT1000001,BOL2024100001,EMPTY_RETURNED,2025-08-18,Houston
CONT1000002,BOL2024100002,ORIGIN_GATE_IN,2024-08-07,Shanghai
CONT1000002,BOL2024100002,LOADED_ON_VESSEL,2024-08-10,Shanghai
CONT1000002,BOL2024100002,VESSEL_DEPARTED,2024-08-11,Shanghai
CONT1000002,BOL2024100002,DESTINATION_PORT_ARRIVAL,2024-09-05,Los Angeles
CONT1000002,BOL2024100002,VESSEL_DISCHARGE,2024-09-05,Los Angeles
CONT1000002,BOL2024100002,CUSTOMS_RELEASED,2024-09-10,Los Angeles
